,uf,municipio,porte,2640000,5912002,8650006,3220500,4756300,5920100,7729202,8592903,9001902,4329105,9001906,1830001,cnpj_basico
296,AC,661,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1
297,AL,560,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1
298,AL,560,1.0,0,0,0,0,0,0,0,0,1,0,0,0,2
299,AL,562,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1
300,AL,562,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1
301,AL,562,1.0,0,0,0,0,0,1,0,0,1,0,0,0,1
302,AL,562,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1
303,AL,562,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1
304,AL,971,1.0,0,0,0,0,0,0,0,0,0,0,1,0,2
305,AL,971,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1
306,AL,971,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1
307,AL,971,1.0,0,0,0,0,0,0,0,0,1,0,1,0,3
308,AL,971,1.0,0,0,0,0,0,0,0,1,0,0,0,0,2
309,AL,971,1.0,0,0,0,0,0,0,1,0,0,0,0,0,7
310,AL,971,1.0,0,0,0,0,0,0,1,0,0,0,1,0,2
311,AL,971,1.0,0,0,0,0,0,0,1,1,1,0,1,0,1
312,AL,971,1.0,0,0,0,0,1,0,0,0,0,0,0,0,3
313,AL,971,1.0,0,0,0,0,1,0,0,0,1,0,1,0,1
314,AL,971,1.0,0,0,0,0,1,0,1,0,0,0,0,0,2
315,AL,971,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1
316,AL,971,3.0,0,0,0,0,1,0,1,0,0,0,0,0,1
317,AL,971,5.0,0,0,0,0,0,0,0,0,0,1,0,0,1
318,AL,2641,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1
319,AL,2641,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1
320,AL,2641,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1
321,AL,2641,1.0,0,0,0,0,0,0,0,0,1,0,1,0,3
322,AL,2641,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1
323,AL,2641,1.0,0,0,0,0,0,0,0,1,1,0,0,0,3
324,AL,2641,1.0,0,0,0,0,0,0,1,0,0,0,0,0,4
325,AL,2641,1.0,0,0,0,0,1,0,0,0,0,0,0,0,3
326,AL,2641,3.0,0,0,0,0,0,0,0,0,0,1,0,0,1
327,AL,2641,3.0,0,0,0,0,0,0,0,0,1,0,0,0,1
328,AL,2641,5.0,0,0,0,0,0,0,0,0,0,1,0,0,1
329,AL,2643,1.0,0,0,0,0,0,0,1,0,0,0,0,0,2
330,AL,2645,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1
331,AL,2701,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1
332,AL,2701,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1
333,AL,2701,1.0,0,0,0,0,0,0,0,0,1,0,1,0,3
334,AL,2701,1.0,0,0,0,0,0,0,1,0,0,0,0,0,2
335,AL,2701,5.0,0,0,0,0,0,0,0,0,1,0,0,0,1
336,AL,2703,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1
337,AL,2703,1.0,0,0,0,0,0,0,0,0,1,0,0,0,3
338,AL,2703,1.0,0,0,0,0,0,0,1,0,0,0,0,0,3
339,AL,2705,1.0,0,0,0,0,0,0,0,0,0,0,1,0,34
340,AL,2705,1.0,0,0,0,0,0,0,0,0,0,1,0,0,8
341,AL,2705,1.0,0,0,0,0,0,0,0,0,0,1,1,0,1
342,AL,2705,1.0,0,0,0,0,0,0,0,0,1,0,0,0,32
343,AL,2705,1.0,0,0,0,0,0,0,0,0,1,0,1,0,6
344,AL,2705,1.0,0,0,0,0,0,0,0,1,0,0,0,0,6
345,AL,2705,1.0,0,0,0,0,0,0,0,1,0,0,1,0,1
346,AL,2705,1.0,0,0,0,0,0,0,0,1,1,0,0,0,9
347,AL,2705,1.0,0,0,0,0,0,0,0,1,1,0,1,0,3
348,AL,2705,1.0,0,0,0,0,0,0,1,0,0,0,0,0,44
349,AL,2705,1.0,0,0,0,0,0,0,1,0,0,0,1,0,2
350,AL,2705,1.0,0,0,0,0,0,0,1,0,1,0,0,0,1
351,AL,2705,1.0,0,0,0,0,0,0,1,0,1,0,1,0,1
352,AL,2705,1.0,0,0,0,0,0,0,1,0,1,1,1,0,1
353,AL,2705,1.0,0,0,0,0,0,0,1,1,0,0,0,0,1
354,AL,2705,1.0,0,0,0,0,0,0,1,1,1,0,1,0,4
355,AL,2705,1.0,0,0,0,0,0,0,1,1,1,1,1,0,2
356,AL,2705,1.0,0,0,0,0,0,1,0,0,0,0,0,0,2
